value_of_credit,%_of_credit,age,late_30-59,payment_ratio,monthly_income,number_of_open_credits,late_>90,mortgages_and_estate_loans,late_60-89,number_of_dependents
0.057627435032467096,0.0012531327067669172,0.17333333333333334,0.0,0.010593527789870846,0.08642022357723578,0.0,0.0,0.0,0.09090909090909091,0.1
0.5216336217816238,0.00013712070050125313,0.76,0.0,8.86865456392396e-05,0.04217479674796748,0.17391304347826086,0.0,0.25,0.0,0.0
0.587074494326591,0.0001566259411027569,0.06666666666666665,0.07692307692307693,1.2901846466405457e-05,0.1326219512195122,0.17391304347826086,0.0,0.0,0.0,0.0
0.3270710276137015,2.9334667919799497e-05,0.3733333333333333,0.0,7.154485560876506e-07,0.07727811653116531,0.13043478260869565,0.0,0.0,0.0,0.0
0.4111721489619861,6.703832581453634e-05,0.9466666666666668,0.0,0.006820490494848353,0.1944952574525745,0.08695652173913043,0.0,0.0,0.0,0.0
0.1930692409232123,2.981565037593985e-05,0.4666666666666667,0.0,1.3541979393411698e-06,0.12703252032520326,0.30434782608695654,0.0,0.0,0.0,0.0
0.7300964012853505,0.0,0.09333333333333332,0.0,1.3072264112610652e-05,0.041814871273712736,0.21739130434782608,0.0,0.0,0.0,0.0
0.4547327297697302,0.0007708755501253133,0.4,0.0,4.126096459149615e-05,0.26640836720867206,0.3913043478260869,0.0,0.25,0.0,0.0
0.452039360524807,0.0,0.22666666666666668,0.0,9.933879001596285e-05,0.19736619241192413,0.7826086956521738,0.0,1.0,0.0,0.25
0.6176749023320312,0.0009585056604010025,0.21333333333333332,0.15384615384615385,0.03548106225511537,2.117208672086721e-05,0.34782608695652173,0.0,0.0,0.0,0.0
0.8628515046867291,0.0,0.29333333333333333,0.07692307692307693,0.47845015237266,8.468834688346883e-06,0.30434782608695654,0.0,0.5,0.0,0.0
0.995886611821491,5.0763630325814535e-05,0.7066666666666667,0.0,0.2067914671310405,8.468834688346883e-06,0.2608695652173913,0.0,0.25,0.0,0.2
0.3675915678875718,7.242255012531328e-05,0.5066666666666667,0.0,3.0337445653751272e-05,0.34087059620596205,0.21739130434782608,0.0,0.5,0.0,0.0
0.002966706222749637,0.0,0.48,0.0,0.00011395007299375998,0.14361026422764228,0.34782608695652173,0.0,0.75,0.0,0.0
0.8181575754343391,2.475500250626566e-05,0.06666666666666665,0.0,0.0011609345523146133,0.146460027100271,0.21739130434782608,0.0,0.0,0.0,0.6
0.5936212482833104,8.550375187969925e-05,0.64,0.0,6.983310114642287e-07,0.33875338753387535,0.21739130434782608,0.0,0.0,0.0,0.0
0.2274096987959839,1.8064611528822054e-06,0.3466666666666667,0.0,2.0094273400087073e-05,0.12061737804878049,0.5652173913043478,0.0,0.0,0.0,0.25
0.2711302817370898,4.173654887218045e-05,0.4,0.0,0.0020316354665505733,0.11364752710027101,0.13043478260869565,0.0,0.0,0.0,0.0
0.4533393778583714,0.0005881499649122807,0.41333333333333333,0.0,3.465704150341025e-05,0.0402269647696477,0.2608695652173913,0.0,0.0,0.0,0.25
0.0679009053454046,1.9656830827067666e-05,0.3866666666666667,0.0,4.989332346538964e-05,0.14272103658536586,0.6956521739130435,0.0,0.25,0.0,0.0
0.3916385551807357,0.0,0.56,0.0,3.0076024669859235e-05,0.30235857046070463,0.21739130434782608,0.0,0.25,0.0,0.25
0.7288563847517967,7.873308270676691e-06,0.7333333333333334,0.07692307692307693,4.539967522855899e-05,0.0719850948509485,0.3913043478260869,0.0,0.0,0.0,0.0
0.8206576087681169,7.399486967418546e-05,0.41333333333333333,0.0,0.01915542011319112,0.143970189701897,0.5652173913043478,0.0,0.0,0.0,0.0
0.7679035720476273,1.1559038847117794e-05,0.6533333333333333,0.0,1.9326501233492962e-06,0.07310721544715447,0.2608695652173913,0.0,0.0,0.0,0.0
0.7621434952466033,9.490038220551378e-05,0.32000000000000006,0.0,0.18574952837033812,1.2703252032520325e-05,0.21739130434782608,0.0,0.25,0.0,0.75
0.12490166535553807,0.00020468484210526313,0.3466666666666667,0.0,7.224709055289509e-05,0.2911161924119241,0.4782608695652174,0.0,0.5,0.0,0.5
0.13690182535767143,6.174037719298244e-05,0.52,0.0,5.4029000580467275e-05,0.04234417344173442,0.34782608695652173,0.0,0.0,0.0,0.0
0.6764356858091441,0.0008403287644110275,0.21333333333333332,0.07692307692307693,0.00013434286895951241,0.03705115176151762,0.34782608695652173,0.0,0.25,0.0,0.5
0.08909452126028347,0.00017328211779448621,0.30666666666666664,0.0,4.437107807284864e-05,0.08009400406504065,0.08695652173913043,0.0,0.25,0.0,0.75
0.6373818317577568,3.399224686716792e-05,0.3733333333333333,0.0,0.21869104629226527,8.468834688346883e-06,0.30434782608695654,0.0,0.25,0.0,0.0
0.642441899225323,9.636496240601503e-06,0.29333333333333333,0.07692307692307693,5.6386401393121464e-05,0.028476456639566397,0.21739130434782608,0.0,0.25,0.0,0.0
0.26436352484699793,7.744051127819548e-05,0.5866666666666667,0.0,7.306614918008996e-05,0.06351626016260163,0.17391304347826086,0.0,0.5,0.0,0.0
